Bank Name,Bank Code,Banktype,Date,Month,Year,ATM(on-site),ATM(off-site),POS(on-line),POS(off-line),POS(Total),Micro ATMs,Bharat QR Codes,UPI QR Codes,No. of Credit Card,No.of credit card transcations via ATM,No.of credit card transcations via POS,Amount of credit card transactions via ATM(in millions),Amount of credit card transactions via POS(in millions),No.of credit card transcations via online (e-com),Amount of credit transcations via online(e-com),No.of credit card transcations via others,Amount of credit card transcations via others,No. of Debit Card,No.of debit transcations via ATM,No.of debit transcations via POS,Amount of debit card transactions via ATM(in millions),Amount of debit card transactions via POS(in millions),No.of debit transcations via Online(e-com),Amount of debit transcations via Online(e-com),No.of debit transcations via Others,Amount of debit transcations via Others
STATE BANK OF INDIA,B093,Public Sector Banks,31-01-2016,1,2016,19783.0,29216.0,289118.0,0.0,289118.0,,,,3523867,75435.0,9698167.0,350.487,25530.865,,,,,184348293,302493211.0,29712176,706067.991,32828.524,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,29-02-2016,2,2016,20043.0,29261.0,296310.0,0.0,296310.0,,,,3576151,77216.0,9494536.0,359.568,25113.364,,,,,186970791,296735275.0,28469070,689132.024,29445.702,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-03-2016,3,2016,20403.0,29321.0,302119.0,0.0,302119.0,,,,3620042,84905.0,10132120.0,405.767,26973.335,,,,,189341852,308423127.0,30331224,702058.746,29956.264,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-04-2016,4,2016,20306.0,29418.0,307895.0,0.0,307895.0,,,,3669236,80320.0,10427528.0,375.215,27561.948,,,,,191393900,309235327.0,32648530,694301.321,33188.207,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-05-2016,5,2016,20285.0,29495.0,312024.0,0.0,312024.0,,,,3721651,87382.0,11111412.0,385.395,29574.021,,,,,193461984,307780252.0,44189363,660952.247,34014.943,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-06-2016,6,2016,20317.0,29504.0,312024.0,0.0,312024.0,,,,3789086,84408.0,10916154.0,376.989,28605.492,,,,,196766988,306314844.0,29679487,664653.376,35813.528,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-07-2016,7,2016,20419.0,29496.0,310744.0,0.0,310744.0,,,,3863854,88246.0,11429744.0,408.4,29553.302,,,,,202702641,316701872.0,32500690,656769.121,39541.564,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-08-2016,8,2016,20254.0,29501.0,329222.0,0.0,329222.0,,,,3933015,96905.0,12353739.0,436.759,32690.593,,,,,204259667,313547386.0,32387787,645292.946,38590.962,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-09-2016,9,2016,23189.0,26826.0,335647.0,0.0,335647.0,,,,4010397,88937.0,11451368.0,397.043,30372.922,,,,,212298475,305250811.0,30151707,657467.554,35650.495,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-10-2016,10,2016,23307.0,26732.0,342689.0,0.0,342689.0,,,,4078269,87692.0,13392916.0,398.129,41200.4,,,,,233255330,328010804.0,35307605,770889.431,57147.139,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-11-2016,11,2016,23331.0,26750.0,359100.0,0.0,359100.0,,,,4149193,77006.0,14385053.0,227.492,35517.357,,,,,233565648,245593806.0,62698077,450531.996,79544.029,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-12-2016,12,2016,23333.0,26777.0,391316.0,0.0,391316.0,,,,4245105,73441.0,16059643.0,153.4,43106.8,,,,,236699081,300709118.0,114336498,348816.0,152923.6,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-01-2017,1,2017,23334.0,26776.0,431430.0,0.0,431430.0,,,,4355603,82462.0,14885382.0,285.387,45960.697,,,,,239467117,331354227.0,80992775,545192.493,124376.163,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,28-02-2017,2,2017,23271.0,26917.0,466806.0,0.0,466806.0,,,,4461656,81145.0,12644258.0,348.9,41168.9,,,,,217407059,314787987.0,63025579,646648.0,91189.9,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-03-2017,3,2017,23161.0,27027.0,509113.0,0.0,509113.0,,,,4569048,92846.0,14605626.0,397.4,49042.3,,,,,218879742,307490694.0,69407825,793090.2,89397.5,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-04-2017,4,2017,29254.0,29544.0,619026.0,0.0,619026.0,,,,4680725,87077.0,14723747.0,370.88,49485.26,,,,,262646087,326949447.0,83277547,897964.44,117207.29,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-05-2017,5,2017,29150.0,29917.0,594037.0,0.0,594037.0,,,,4807860,98169.0,16002036.0,403.0,55724.9,,,,,264888637,320809290.0,79695542,894155.5,114597.0,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-06-2017,6,2017,28981.0,30310.0,605535.0,0.0,605535.0,,,,4932698,99015.0,15517077.0,400.9,60048.8,,,,,265434590,327674875.0,76443770,948792.6,117213.5,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-07-2017,7,2017,28737.0,30476.0,613270.0,0.0,613270.0,,,,4975317,110375.0,16071405.0,429.8,56846.2,,,,,266494994,347873356.0,74954333,951057.0,103999.9,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-08-2017,8,2017,28525.0,30675.0,625872.0,0.0,625872.0,,,,5090095,121311.0,17368773.0,467.5,62498.9,,,,,268750262,355890702.0,77272254,984277.6,105828.6,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-09-2017,9,2017,28952.0,29964.0,641938.0,0.0,641938.0,,,,5255704,121328.0,17136661.0,473.0,67454.3,,,,,272097218,346794275.0,77245776,1009282.1,116265.3,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-10-2017,10,2017,28703.0,30067.0,651297.0,0.0,651297.0,,,,5412156,126549.0,18823489.0,485.7,74961.9,,,,,274956279,349373556.0,79941223,1047545.6,123073.1,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-11-2017,11,2017,28626.0,30276.0,634747.0,0.0,634747.0,,,,5641724,127071.0,17301631.0,480.632,71454.219,,,,,275083261,342563742.0,77749867,1037696.339,108061.058,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-12-2017,12,2017,28435.0,30558.0,633640.0,0.0,633640.0,,,,5750415,131212.0,19212446.0,493.8,75409.8,,,,,278246603,360648020.0,83961854,1089293.1,120138.2,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-01-2018,1,2018,26507.0,32582.0,630068.0,0.0,630068.0,,,,5909429,139998.0,20209552.0,516.31,61644.81,,,,,276790651,351515682.0,88809837,1039989.3,124974.4,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,28-02-2018,2,2018,26505.0,32680.0,630836.0,0.0,630836.0,,,,6065830,124015.0,17889710.0,468.607,58942.419,,,,,279403266,343309307.0,81363638,1003147.383,109765.717,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-03-2018,3,2018,26579.0,32962.0,609789.0,0.0,609789.0,,,,6258360,141238.0,20229099.0,540.16,70230.237,,,,,278467823,365769871.0,92932626,1050673.255,126023.258,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-04-2018,4,2018,26343.0,32949.0,613877.0,0.0,613877.0,,,,6357785,129941.0,21245813.0,511.29,75460.647,,,,,279796198,362428635.0,94602321,1065905.246,139835.281,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-05-2018,5,2018,26336.0,32997.0,618452.0,0.0,618452.0,,,,6472514,131352.0,21861288.0,518.262,78523.618,,,,,282976998,352751599.0,97390937,1065286.199,141697.305,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,30-06-2018,6,2018,26389.0,33209.0,623113.0,0.0,623113.0,,,,6596823,125495.0,20793632.0,490.923,76095.291,,,,,289001785,353080704.0,98849506,1085676.957,145557.349,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-07-2018,7,2018,26428.0,33093.0,545835.0,0.0,545835.0,,,,6690424,133257.0,22880688.0,503.81,82400.299,,,,,297794966,365668653.0,100161611,1079182.345,144055.766,,,,
STATE BANK OF INDIA,B093,Public Sector Banks,31-08-2018,8,2018,26428.0,33093.0,551934.0,0.0,551934.0,,,,6851249,135549.0,22484822.0,513.505,82038.843,,,,,307029951,376155878.0,101375836,1107891.89,147288.202,,,,
